"Agency","Subagency","accountID","Title","Obligation"
"Department of Energy","Energy Programs",2733,"Legacy Management",0
"Department of Energy","Energy Programs",2734,"Energy Efficiency and Renewable Energy",958475306.48
"Department of Energy","Energy Programs",2730,"Non-Defense Environmental Cleanup",143350787.6
"Department of Energy","Energy Programs",2699,"Fossil Energy Research and Development",164214802.02
"Department of Energy","Energy Programs",2705,"Naval Petroleum and Oil Shale Reserves",5812741.25
"Department of Energy","Energy Programs",2701,"Energy Conservation",0
"Department of Energy","Energy Programs",2704,"Strategic Petroleum Reserve",109863796.2
"Department of Energy","Energy Programs",2711,"Emergency Preparedness",0
"Department of Energy","Energy Programs",2710,"SPR Petroleum Account",567000
"Department of Energy","Energy Programs",2773,"Energy Security and Infrastructure Modernization Fund",0
"Department of Energy","Energy Programs",2702,"Energy Information Administration",50609340.11
"Department of Energy","Energy Programs",2698,"Salaries and Expenses",154558024.8
"Department of Energy","Energy Programs",2712,"Clean Coal Technology",0
"Department of Energy","Energy Programs",2770,"Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Research Fund",0
"Department of Energy","Energy Programs",2757,"Payment to States Under Federal Power Act",0
"Department of Energy","Energy Programs",2767,"Northeast Home Heating Oil Reserve",9315157.77
"Department of Energy","Energy Programs",2761,"Nuclear Waste Disposal Fund",917215.82
"Department of Energy","Energy Programs",2764,"Uranium Enrichment Decontamination and Decommissioning Fund",366937417.3
"Department of Energy","Energy Programs",2771,"Sales of Uranium",0
"Department of Energy","Energy Programs",2745,"Expenses, Isotope Production and Distribution Program Fund",31387432.36
"Department of Energy","Energy Programs",2735,"Advanced Technology Vehicles Manufacturing Loan Program",1996834.28
"Department of Energy","Energy Programs",2736,"Advanced Technology Vehicle Manufacturing Loan Program-Recovery Act",0
"Department of Energy","Energy Programs",2695,"Title  Innovative Technology Loan Guarantee Program",14100499.9
"Department of Energy","Energy Programs",2696,"Title -Innovative Technology Loan Guarantee Program-Recovery Act",0
"Department of Energy","Energy Programs",2791,"Advances for Cooperative Work",0
"Department of Energy","Power Marketing Administration",2725,"Operation and Maintenance",0
"Department of Energy","Power Marketing Administration",2723,"Operation and Maintenance",38649878.04
"Department of Energy","Power Marketing Administration",2775,"Continuing Fund, Southeastern Power Administration",0
"Department of Energy","Power Marketing Administration",2724,"Operation and Maintenance",25632834.04
"Department of Energy","Power Marketing Administration",2774,"Continuing Fund, Southwestern Power Administration",0
"Department of Energy","Power Marketing Administration",2755,"Construction, Rehabilitation, Operation, and Maintenance, Western Area Power Administration",327766541.5
"Department of Energy","Power Marketing Administration",2746,"Western Area Power Administration",2569655.03
"Department of Energy","Power Marketing Administration",2756,"Emergency Fund",0
"Department of Energy","Power Marketing Administration",2758,"Falcon and Amistad Operating and Maintenance Fund",2549090.31
"Department of Energy","Power Marketing Administration",2748,"Colorado River Basins Power Marketing Fund",62768996.61
"Department of Energy","Power Marketing Administration",2744,"Bonneville Power Administration Fund",1613910338.3
"Department of Energy","Departmental Administration",2709,"Departmental Administration",110765316.32
"Department of Energy","Departmental Administration",2792,"Gifts and Donations",8500.27
"Department of Energy","Departmental Administration",2742,"Departmental Administration - Recovery Act",0
"Department of Energy","Departmental Administration",2713,"Expenses, Office of the Inspector General",23882014.64
"Department of Energy","Departmental Administration",2714,"Office of the Inspector General - Recovery Act",0
"Department of Energy","Departmental Administration",2751,"Working Capital Fund",70749366.51
"Department of Health and Human Services","Food and Drug Administration",2369,"Salaries and Expenses",2057027744.63
"Department of Health and Human Services","Food and Drug Administration",2371,"Buildings and Facilities",1178870.85
"Department of Health and Human Services","Food and Drug Administration",2489,"Cooperative Research and Development Agreements",115084.99
"Department of Health and Human Services","Food and Drug Administration",2329,"Payment to the FDA Innovation Account, CURES Act",0
"Department of Health and Human Services","Food and Drug Administration",2476,"Revolving Fund for Certification and Other Services",3809723.75
"Department of Health and Human Services","Health Resources and Services Administration",2337,"Health Resources and Services",14289893.91
"Department of Health and Human Services","Health Resources and Services Administration",2348,"Health Centers Malpractice Claims",78345494.99
"Department of Health and Human Services","Health Resources and Services Administration",2333,"Free Clinics Malpractice Claims Fund",0
"Department of Health and Human Services","Health Resources and Services Administration",2339,"Primary Health Care Access",90438616.53
"Department of Health and Human Services","Health Resources and Services Administration",2313,"Community Health Center Fund",0
"Department of Health and Human Services","Health Resources and Services Administration",2340,"Health Workforce",139397709.31
"Department of Health and Human Services","Health Resources and Services Administration",2346,"Primary Health Care",956094175.17
"Department of Health and Human Services","Health Resources and Services Administration",2341,"Maternal and Child Health",303422725.63
"Department of Health and Human Services","Health Resources and Services Administration",2342,"Ryan White HIV/AIDS Program",355487866.3
"Department of Health and Human Services","Health Resources and Services Administration",2343,"Health Care Systems",11214626
"Department of Health and Human Services","Health Resources and Services Administration",2344,"Rural Health",2305513.28
"Department of Health and Human Services","Health Resources and Services Administration",2345,"Family Planning",3806859.87
"Department of Health and Human Services","Health Resources and Services Administration",2347,"Program Management",74981272.19
"Department of Health and Human Services","Health Resources and Services Administration",2331,"Vaccine Injury Compensation",0
"Department of Health and Human Services","Health Resources and Services Administration",2335,"Covered Countermeasure Process Fund",538364.28
"Department of Health and Human Services","Health Resources and Services Administration",2332,"Maternal, Infant, and Early Childhood Home Visiting Programs",28632831.29
"Department of Health and Human Services","Health Resources and Services Administration",2334,"Health Education Assistance Loans Program Account",0
"Department of Health and Human Services","Health Resources and Services Administration",2514,"Vaccine Injury Compensation Trust Fund - Treasury Managed",162035449.6
"Department of Health and Human Services","Indian Health Service",2351,"Indian Health Services",2653970713.01
"Department of Health and Human Services","Indian Health Service",2471,"Consolidated Working Fund",0
"Department of Health and Human Services","Indian Health Service",2336,"Contract Support Costs",333908303.5
"Department of Health and Human Services","Indian Health Service",2352,"Indian Health Facilities",158212364.5
"Department of Health and Human Services","Indian Health Service",2486,"Operation and Maintenance of Quarters",3465375.53
"Department of Health and Human Services","Centers for Disease Control and Prevention",2439,"Birth Defects, Developmental Disabilities, Disabilities and Health",36765180.65
"Department of Health and Human Services","Centers for Disease Control and Prevention",2426,"CDC-Wide Activities and Program Support",668908365.22
